time,power_opt
2025-05-09 16:25:00,-839.671
2025-05-09 16:30:00,-607.631
2025-05-09 16:35:00,-587.671
2025-05-09 16:40:00,-875.671
2025-05-09 16:45:00,-715.701
2025-05-09 16:50:00,-539.681
2025-05-09 16:55:00,-499.651
2025-05-09 17:00:00,-507.681
2025-05-09 17:05:00,-539.681
2025-05-09 17:10:00,-527.671
2025-05-09 17:15:00,-503.661
2025-05-09 17:20:00,-471.681
2025-05-09 17:25:00,-367.671
2025-05-09 17:30:00,-419.681
2025-05-09 17:35:00,-523.671
2025-05-09 17:40:00,-479.641
2025-05-09 17:45:00,-495.641
2025-05-09 17:50:00,-447.691
2025-05-09 17:55:00,-487.661
2025-05-09 18:00:00,9000.0
2025-05-09 18:05:00,9000.0
2025-05-09 18:10:00,9000.0
2025-05-09 18:15:00,9000.0
2025-05-09 18:20:00,8748.71
2025-05-09 18:25:00,0.0
2025-05-09 18:30:00,0.0
2025-05-09 18:35:00,0.0
2025-05-09 18:40:00,0.0
2025-05-09 18:45:00,0.0
2025-05-09 18:50:00,0.0
2025-05-09 18:55:00,0.0
2025-05-09 19:00:00,0.0
2025-05-09 19:05:00,0.0
2025-05-09 19:10:00,0.0
2025-05-09 19:15:00,0.0
2025-05-09 19:20:00,0.0
2025-05-09 19:25:00,0.0
2025-05-09 19:30:00,0.0
2025-05-09 19:35:00,0.0
2025-05-09 19:40:00,0.0
2025-05-09 19:45:00,0.0
2025-05-09 19:50:00,0.0
2025-05-09 19:55:00,0.0
2025-05-09 20:00:00,0.0
2025-05-09 20:05:00,0.0
2025-05-09 20:10:00,0.0
2025-05-09 20:15:00,0.0
2025-05-09 20:20:00,0.0
2025-05-09 20:25:00,0.0
2025-05-09 20:30:00,0.0
2025-05-09 20:35:00,0.0
2025-05-09 20:40:00,0.0
2025-05-09 20:45:00,0.0
2025-05-09 20:50:00,0.0
2025-05-09 20:55:00,0.0
2025-05-09 21:00:00,0.0
2025-05-09 21:05:00,0.0
2025-05-09 21:10:00,0.0
2025-05-09 21:15:00,0.0
2025-05-09 21:20:00,0.0
2025-05-09 21:25:00,0.0
2025-05-09 21:30:00,0.0
2025-05-09 21:35:00,0.0
2025-05-09 21:40:00,0.0
2025-05-09 21:45:00,0.0
2025-05-09 21:50:00,0.0
2025-05-09 21:55:00,0.0
2025-05-09 22:00:00,-464.701
2025-05-09 22:05:00,-368.671
2025-05-09 22:10:00,-544.671
2025-05-09 22:15:00,-416.661
2025-05-09 22:20:00,-412.651
2025-05-09 22:25:00,-408.671
2025-05-09 22:30:00,-572.671
2025-05-09 22:35:00,-500.681
2025-05-09 22:40:00,-516.641
2025-05-09 22:45:00,-812.671
2025-05-09 22:50:00,-828.671
2025-05-09 22:55:00,-712.691
2025-05-09 23:00:00,-496.691
2025-05-09 23:05:00,-760.661
2025-05-09 23:10:00,-628.681
2025-05-09 23:15:00,-756.701
2025-05-09 23:20:00,-396.671
2025-05-09 23:25:00,-572.691
2025-05-09 23:30:00,-412.661
2025-05-09 23:35:00,-336.681
2025-05-09 23:40:00,-800.671
2025-05-09 23:45:00,-368.671
2025-05-09 23:50:00,-476.631
2025-05-09 23:55:00,-544.681
2025-05-10 00:00:00,-388.671
2025-05-10 00:05:00,-552.691
2025-05-10 00:10:00,-396.671
2025-05-10 00:15:00,-668.701
2025-05-10 00:20:00,-408.681
2025-05-10 00:25:00,-392.721
2025-05-10 00:30:00,-392.661
2025-05-10 00:35:00,-400.711
