Time,Load_kW,Wind_kW,Served_kW,Charge_kW,Discharge_kW,SOC,Curtail_kW
2025-09-09 06:30:00,80960.0,3579.7996849222827,3645.7868383506775,1073.9399054766848,1139.927058905079,0.100179353890691,0.0
2025-09-09 06:45:00,80080.0,3002.5189644152815,3010.7460110861934,900.7556893245846,908.9827359954967,0.10015043117088632,0.0
2025-09-09 07:00:00,79200.0,2450.8452768426723,2477.991309234151,735.2535830528018,762.3996154442802,0.10012279140582497,0.0
2025-09-09 07:15:00,79200.0,2582.1961548361523,2429.8559410812377,774.6588464508457,622.318632695931,0.10012937230226815,0.0
2025-09-09 07:30:00,79200.0,2713.5470328296274,2555.1541706167586,814.0641098488882,655.6712476360193,0.10013595319871134,0.0
2025-09-09 07:45:00,79200.0,2844.897910823108,2680.452400152283,853.4693732469324,689.0238625761075,0.10014253409515451,0.0
2025-09-09 08:00:00,79200.0,2976.2487888165856,2805.750629687806,892.8746366449757,722.3764775161958,0.10014911499159769,0.0
2025-09-09 08:15:00,79200.0,1889.6968942443666,2078.516918427341,566.9090682733099,755.729092456284,0.10009467694285715,0.0
2025-09-09 08:30:00,80080.0,1300.0902084074846,1389.8949812717642,390.0270625222454,479.8318353865249,0.10006513667178342,0.0
2025-09-09 08:45:00,80960.0,1061.5286137814915,1073.1889353658828,318.45858413444745,330.1189057188388,0.10005318434094607,0.0
2025-09-09 09:00:00,81840.0,1027.2271836897237,988.602374194228,308.1681551069171,269.5433456114214,0.10005146578251131,0.0
2025-09-09 09:15:00,81840.0,2266.9540476518055,2527.7875741342714,0.0,260.8335264824657,0.1,0.0
2025-09-09 09:30:00,80960.0,10137.765306686315,10137.765306686315,0.0,0.0,0.1,0.0
2025-09-09 09:45:00,79200.0,31000.372741318955,31000.372741318955,0.0,0.0,0.1,0.0
2025-09-09 10:00:00,78320.0,71215.48813207544,71215.48813207544,0.0,0.0,0.1,0.0
2025-09-09 10:15:00,78320.0,64569.306653212305,45198.51465724861,19370.791995963693,0.0,0.10323502915994165,0.0
2025-09-09 10:30:00,79200.0,58368.125202428266,57253.12598708345,17510.437560728482,16395.438345383667,0.10292433970299705,0.0
2025-09-09 10:45:00,80080.0,52281.53243882657,51417.90705857918,15684.45973164797,14820.83435140058,0.10261939132898565,0.0
2025-09-09 11:00:00,80960.0,47111.27787910492,46253.22123224031,14133.383363731476,13275.32671686686,0.10236035301601673,0.0
2025-09-09 11:15:00,80960.0,32539.663030453354,34740.25980037965,9761.898909136005,11962.495679062302,0.10163029098831054,0.0
2025-09-09 11:30:00,80960.0,21285.5746458705,23162.373488802077,6385.67239376115,8262.471236692729,0.10106644252872862,0.0
2025-09-09 11:45:00,80960.0,13293.736402259361,14710.448595660939,3988.120920677808,5404.833114079386,0.10066603820197204,0.0
2025-09-09 12:00:00,81840.0,7741.556938440018,8794.635404169661,2322.467081532005,3375.545547261648,0.10038786481901855,0.0
