,time,value,type
9526,2025-05-02 01:50:00,0.1879,深谷
9527,2025-05-02 01:55:00,0.1879,深谷
9528,2025-05-02 02:00:00,0.1879,深谷
9529,2025-05-02 02:05:00,0.1879,深谷
9530,2025-05-02 02:10:00,0.1879,深谷
9531,2025-05-02 02:15:00,0.1879,深谷
9532,2025-05-02 02:20:00,0.1879,深谷
9533,2025-05-02 02:25:00,0.1879,深谷
9534,2025-05-02 02:30:00,0.1879,深谷
9535,2025-05-02 02:35:00,0.1879,深谷
9536,2025-05-02 02:40:00,0.1879,深谷
9537,2025-05-02 02:45:00,0.1879,深谷
9538,2025-05-02 02:50:00,0.1879,深谷
9539,2025-05-02 02:55:00,0.1879,深谷
9540,2025-05-02 03:00:00,0.1879,深谷
9541,2025-05-02 03:05:00,0.1879,深谷
9542,2025-05-02 03:10:00,0.1879,深谷
9543,2025-05-02 03:15:00,0.1879,深谷
9544,2025-05-02 03:20:00,0.1879,深谷
9545,2025-05-02 03:25:00,0.1879,深谷
9546,2025-05-02 03:30:00,0.1879,深谷
9547,2025-05-02 03:35:00,0.1879,深谷
9548,2025-05-02 03:40:00,0.1879,深谷
9549,2025-05-02 03:45:00,0.1879,深谷
9550,2025-05-02 03:50:00,0.1879,深谷
9551,2025-05-02 03:55:00,0.1879,深谷
9552,2025-05-02 04:00:00,0.1879,深谷
9553,2025-05-02 04:05:00,0.1879,深谷
9554,2025-05-02 04:10:00,0.1879,深谷
9555,2025-05-02 04:15:00,0.1879,深谷
9556,2025-05-02 04:20:00,0.1879,深谷
9557,2025-05-02 04:25:00,0.1879,深谷
9558,2025-05-02 04:30:00,0.1879,深谷
9559,2025-05-02 04:35:00,0.1879,深谷
9560,2025-05-02 04:40:00,0.1879,深谷
9561,2025-05-02 04:45:00,0.1879,深谷
9562,2025-05-02 04:50:00,0.1879,深谷
9563,2025-05-02 04:55:00,0.1879,深谷
9564,2025-05-02 05:00:00,0.1879,深谷
9565,2025-05-02 05:05:00,0.1879,深谷
9566,2025-05-02 05:10:00,0.1879,深谷
9567,2025-05-02 05:15:00,0.1879,深谷
9568,2025-05-02 05:20:00,0.1879,深谷
9569,2025-05-02 05:25:00,0.1879,深谷
9570,2025-05-02 05:30:00,0.1879,深谷
9571,2025-05-02 05:35:00,0.1879,深谷
9572,2025-05-02 05:40:00,0.1879,深谷
9573,2025-05-02 05:45:00,0.1879,深谷
9574,2025-05-02 05:50:00,0.1879,深谷
9575,2025-05-02 05:55:00,0.1879,深谷
9576,2025-05-02 06:00:00,0.6369,平
9577,2025-05-02 06:05:00,0.6369,平
9578,2025-05-02 06:10:00,0.6369,平
9579,2025-05-02 06:15:00,0.6369,平
9580,2025-05-02 06:20:00,0.6369,平
9581,2025-05-02 06:25:00,0.6369,平
9582,2025-05-02 06:30:00,0.6369,平
9583,2025-05-02 06:35:00,0.6369,平
9584,2025-05-02 06:40:00,0.6369,平
9585,2025-05-02 06:45:00,0.6369,平
9586,2025-05-02 06:50:00,0.6369,平
9587,2025-05-02 06:55:00,0.6369,平
9588,2025-05-02 07:00:00,0.6369,平
9589,2025-05-02 07:05:00,0.6369,平
9590,2025-05-02 07:10:00,0.6369,平
9591,2025-05-02 07:15:00,0.6369,平
9592,2025-05-02 07:20:00,0.6369,平
9593,2025-05-02 07:25:00,0.6369,平
9594,2025-05-02 07:30:00,0.6369,平
9595,2025-05-02 07:35:00,0.6369,平
9596,2025-05-02 07:40:00,0.6369,平
9597,2025-05-02 07:45:00,0.6369,平
9598,2025-05-02 07:50:00,0.6369,平
9599,2025-05-02 07:55:00,0.6369,平
9600,2025-05-02 08:00:00,0.9736,峰
9601,2025-05-02 08:05:00,0.9736,峰
9602,2025-05-02 08:10:00,0.9736,峰
9603,2025-05-02 08:15:00,0.9736,峰
9604,2025-05-02 08:20:00,0.9736,峰
9605,2025-05-02 08:25:00,0.9736,峰
9606,2025-05-02 08:30:00,0.9736,峰
9607,2025-05-02 08:35:00,0.9736,峰
9608,2025-05-02 08:40:00,0.9736,峰
9609,2025-05-02 08:45:00,0.9736,峰
9610,2025-05-02 08:50:00,0.9736,峰
9611,2025-05-02 08:55:00,0.9736,峰
9612,2025-05-02 09:00:00,0.9736,峰
9613,2025-05-02 09:05:00,0.9736,峰
9614,2025-05-02 09:10:00,0.9736,峰
9615,2025-05-02 09:15:00,0.9736,峰
9616,2025-05-02 09:20:00,0.9736,峰
9617,2025-05-02 09:25:00,0.9736,峰
9618,2025-05-02 09:30:00,0.9736,峰
9619,2025-05-02 09:35:00,0.9736,峰
9620,2025-05-02 09:40:00,0.9736,峰
9621,2025-05-02 09:45:00,0.9736,峰
9622,2025-05-02 09:50:00,0.9736,峰
9623,2025-05-02 09:55:00,0.9736,峰
9624,2025-05-02 10:00:00,0.9736,峰
9625,2025-05-02 10:05:00,0.9736,峰
9626,2025-05-02 10:10:00,0.9736,峰
9627,2025-05-02 10:15:00,0.9736,峰
9628,2025-05-02 10:20:00,0.9736,峰
9629,2025-05-02 10:25:00,0.9736,峰
9630,2025-05-02 10:30:00,0.9736,峰
9631,2025-05-02 10:35:00,0.9736,峰
9632,2025-05-02 10:40:00,0.9736,峰
9633,2025-05-02 10:45:00,0.9736,峰
9634,2025-05-02 10:50:00,0.9736,峰
9635,2025-05-02 10:55:00,0.9736,峰
9636,2025-05-02 11:00:00,0.6369,平
9637,2025-05-02 11:05:00,0.6369,平
9638,2025-05-02 11:10:00,0.6369,平
9639,2025-05-02 11:15:00,0.6369,平
9640,2025-05-02 11:20:00,0.6369,平
9641,2025-05-02 11:25:00,0.6369,平
9642,2025-05-02 11:30:00,0.6369,平
9643,2025-05-02 11:35:00,0.6369,平
9644,2025-05-02 11:40:00,0.6369,平
9645,2025-05-02 11:45:00,0.6369,平
9646,2025-05-02 11:50:00,0.6369,平
9647,2025-05-02 11:55:00,0.6369,平
9648,2025-05-02 12:00:00,0.6369,平
9649,2025-05-02 12:05:00,0.6369,平
9650,2025-05-02 12:10:00,0.6369,平
9651,2025-05-02 12:15:00,0.6369,平
9652,2025-05-02 12:20:00,0.6369,平
9653,2025-05-02 12:25:00,0.6369,平
9654,2025-05-02 12:30:00,0.6369,平
9655,2025-05-02 12:35:00,0.6369,平
9656,2025-05-02 12:40:00,0.6369,平
9657,2025-05-02 12:45:00,0.6369,平
9658,2025-05-02 12:50:00,0.6369,平
9659,2025-05-02 12:55:00,0.6369,平
9660,2025-05-02 13:00:00,0.6369,平
9661,2025-05-02 13:05:00,0.6369,平
9662,2025-05-02 13:10:00,0.6369,平
9663,2025-05-02 13:15:00,0.6369,平
9664,2025-05-02 13:20:00,0.6369,平
9665,2025-05-02 13:25:00,0.6369,平
9666,2025-05-02 13:30:00,0.6369,平
9667,2025-05-02 13:35:00,0.6369,平
9668,2025-05-02 13:40:00,0.6369,平
9669,2025-05-02 13:45:00,0.6369,平
9670,2025-05-02 13:50:00,0.6369,平
9671,2025-05-02 13:55:00,0.6369,平
9672,2025-05-02 14:00:00,0.6369,平
9673,2025-05-02 14:05:00,0.6369,平
9674,2025-05-02 14:10:00,0.6369,平
9675,2025-05-02 14:15:00,0.6369,平
9676,2025-05-02 14:20:00,0.6369,平
9677,2025-05-02 14:25:00,0.6369,平
9678,2025-05-02 14:30:00,0.6369,平
9679,2025-05-02 14:35:00,0.6369,平
9680,2025-05-02 14:40:00,0.6369,平
9681,2025-05-02 14:45:00,0.6369,平
9682,2025-05-02 14:50:00,0.6369,平
9683,2025-05-02 14:55:00,0.6369,平
9684,2025-05-02 15:00:00,0.6369,平
