,time,value
13532,2025-07-15 23:40:00,9074.35
13533,2025-07-15 23:45:00,9094.38
13534,2025-07-15 23:50:00,9102.43
13535,2025-07-15 23:55:00,9098.41
13536,2025-07-16 00:00:00,9030.37
13537,2025-07-16 00:05:00,9034.37
13538,2025-07-16 00:10:00,9070.39
13539,2025-07-16 00:15:00,9022.41
13540,2025-07-16 00:20:00,9006.380000000001
13541,2025-07-16 00:25:00,9098.37
13542,2025-07-16 00:30:00,9026.4
13543,2025-07-16 00:35:00,9074.37
13544,2025-07-16 00:40:00,9062.37
13545,2025-07-16 00:45:00,9058.38
13546,2025-07-16 00:50:00,9102.38
13547,2025-07-16 00:55:00,9070.39
13548,2025-07-16 01:00:00,9058.38
13549,2025-07-16 01:05:00,9066.38
13550,2025-07-16 01:10:00,9114.39
13551,2025-07-16 01:15:00,9122.39
13552,2025-07-16 01:20:00,9030.38
13553,2025-07-16 01:25:00,9010.38
13554,2025-07-16 01:30:00,9094.39
13555,2025-07-16 01:35:00,9066.36
13556,2025-07-16 01:40:00,9034.39
13557,2025-07-16 01:45:00,9054.4
13558,2025-07-16 01:50:00,9058.36
13559,2025-07-16 01:55:00,9014.37
13560,2025-07-16 02:00:00,9062.4
13561,2025-07-16 02:05:00,9098.36
13562,2025-07-16 02:10:00,9086.37
13563,2025-07-16 02:15:00,9058.37
13564,2025-07-16 02:20:00,8994.39
13565,2025-07-16 02:25:00,9094.41
13566,2025-07-16 02:30:00,8978.380000000001
13567,2025-07-16 02:35:00,8966.380000000001
13568,2025-07-16 02:40:00,9114.39
13569,2025-07-16 02:45:00,9054.38
13570,2025-07-16 02:50:00,9062.38
13571,2025-07-16 02:55:00,9030.4
13572,2025-07-16 03:00:00,9110.39
13573,2025-07-16 03:05:00,9082.37
13574,2025-07-16 03:10:00,9010.39
13575,2025-07-16 03:15:00,8998.36
13576,2025-07-16 03:20:00,8966.369999999999
13577,2025-07-16 03:25:00,9042.36
13578,2025-07-16 03:30:00,8994.39
13579,2025-07-16 03:35:00,8994.39
13580,2025-07-16 03:40:00,9054.39
13581,2025-07-16 03:45:00,9094.37
13582,2025-07-16 03:50:00,9114.37
13583,2025-07-16 03:55:00,9114.39
13584,2025-07-16 04:00:00,9042.38
13585,2025-07-16 04:05:00,9134.37
13586,2025-07-16 04:10:00,9054.36
13587,2025-07-16 04:15:00,9046.37
13588,2025-07-16 04:20:00,9122.37
13589,2025-07-16 04:25:00,9074.37
13590,2025-07-16 04:30:00,9070.37
13591,2025-07-16 04:35:00,9034.37
13592,2025-07-16 04:40:00,9090.39
13593,2025-07-16 04:45:00,9126.35
13594,2025-07-16 04:50:00,9150.36
13595,2025-07-16 04:55:00,8998.34
13596,2025-07-16 05:00:00,9130.41
13597,2025-07-16 05:05:00,9106.37
13598,2025-07-16 05:10:00,9130.4
13599,2025-07-16 05:15:00,9118.37
13600,2025-07-16 05:20:00,9070.34
13601,2025-07-16 05:25:00,8942.42
13602,2025-07-16 05:30:00,9074.39
13603,2025-07-16 05:35:00,9102.42
13604,2025-07-16 05:40:00,9262.35
13605,2025-07-16 05:45:00,9090.37
13606,2025-07-16 05:50:00,9202.4
13607,2025-07-16 05:55:00,9150.37
13608,2025-07-16 06:00:00,9178.37
13609,2025-07-16 06:05:00,9190.38
13610,2025-07-16 06:10:00,9250.41
13611,2025-07-16 06:15:00,9214.38
13612,2025-07-16 06:20:00,9162.38
13613,2025-07-16 06:25:00,9106.39
13614,2025-07-16 06:30:00,9034.38
