,time,value
9631,2025-05-02 10:35:00,10790.33
9632,2025-05-02 10:40:00,10682.33
9633,2025-05-02 10:45:00,10722.34
9634,2025-05-02 10:50:00,10830.36
9635,2025-05-02 10:55:00,10822.34
9636,2025-05-02 11:00:00,10670.36
9637,2025-05-02 11:05:00,10786.35
9638,2025-05-02 11:10:00,10946.37
9639,2025-05-02 11:15:00,10798.37
9640,2025-05-02 11:20:00,10958.35
9641,2025-05-02 11:25:00,10962.34
9642,2025-05-02 11:30:00,10906.31
9643,2025-05-02 11:35:00,10786.34
9644,2025-05-02 11:40:00,10970.34
9645,2025-05-02 11:45:00,10882.33
9646,2025-05-02 11:50:00,10650.35
9647,2025-05-02 11:55:00,10918.38
9648,2025-05-02 12:00:00,10922.33
9649,2025-05-02 12:05:00,10902.34
9650,2025-05-02 12:10:00,10946.33
9651,2025-05-02 12:15:00,10790.35
9652,2025-05-02 12:20:00,10918.36
9653,2025-05-02 12:25:00,10982.35
9654,2025-05-02 12:30:00,10958.36
9655,2025-05-02 12:35:00,11002.33
9656,2025-05-02 12:40:00,11070.35
9657,2025-05-02 12:45:00,10990.35
9658,2025-05-02 12:50:00,10958.36
9659,2025-05-02 12:55:00,11006.33
9660,2025-05-02 13:00:00,10978.33
9661,2025-05-02 13:05:00,10930.34
9662,2025-05-02 13:10:00,10842.34
9663,2025-05-02 13:15:00,11034.34
9664,2025-05-02 13:20:00,10910.33
9665,2025-05-02 13:25:00,10962.32
9666,2025-05-02 13:30:00,10698.35
9667,2025-05-02 13:35:00,10834.33
9668,2025-05-02 13:40:00,10718.34
9669,2025-05-02 13:45:00,10750.38
9670,2025-05-02 13:50:00,10850.33
9671,2025-05-02 13:55:00,10706.35
9672,2025-05-02 14:00:00,10966.35
9673,2025-05-02 14:05:00,10806.33
9674,2025-05-02 14:10:00,10770.32
9675,2025-05-02 14:15:00,10814.33
9676,2025-05-02 14:20:00,10874.39
9677,2025-05-02 14:25:00,10782.33
9678,2025-05-02 14:30:00,10854.33
9679,2025-05-02 14:35:00,10846.35
9680,2025-05-02 14:40:00,10982.33
9681,2025-05-02 14:45:00,10666.37
9682,2025-05-02 14:50:00,10926.37
9683,2025-05-02 14:55:00,11010.36
9684,2025-05-02 15:00:00,11038.38
9685,2025-05-02 15:05:00,10846.36
9686,2025-05-02 15:10:00,10930.36
9687,2025-05-02 15:15:00,11018.33
9688,2025-05-02 15:20:00,10742.35
9689,2025-05-02 15:25:00,10870.38
9690,2025-05-02 15:30:00,10906.35
9691,2025-05-02 15:35:00,10950.33
9692,2025-05-02 15:40:00,10722.38
9693,2025-05-02 15:45:00,11050.35
9694,2025-05-02 15:50:00,10986.32
9695,2025-05-02 15:55:00,11006.35
9696,2025-05-02 16:00:00,10854.35
9697,2025-05-02 16:05:00,10986.36
9698,2025-05-02 16:10:00,10982.33
9699,2025-05-02 16:15:00,10890.34
9700,2025-05-02 16:20:00,10694.33
9701,2025-05-02 16:25:00,10738.33
9702,2025-05-02 16:30:00,11030.36
9703,2025-05-02 16:35:00,10942.34
9704,2025-05-02 16:40:00,10970.34
9705,2025-05-02 16:45:00,10694.32
9706,2025-05-02 16:50:00,10726.37
9707,2025-05-02 16:55:00,10678.36
9708,2025-05-02 17:00:00,10618.33
9709,2025-05-02 17:05:00,10906.31
9710,2025-05-02 17:10:00,10918.33
9711,2025-05-02 17:15:00,10978.34
9712,2025-05-02 17:20:00,10918.39
9713,2025-05-02 17:25:00,10978.37
9714,2025-05-02 17:30:00,11154.36
9715,2025-05-02 17:35:00,10970.33
9716,2025-05-02 17:40:00,11066.38
9717,2025-05-02 17:45:00,11090.33
9718,2025-05-02 17:50:00,10926.32
9719,2025-05-02 17:55:00,10746.39
9720,2025-05-02 18:00:00,10702.38
9721,2025-05-02 18:05:00,10786.33
9722,2025-05-02 18:10:00,11030.36
9723,2025-05-02 18:15:00,11114.35
9724,2025-05-02 18:20:00,10990.39
9725,2025-05-02 18:25:00,11126.33
9726,2025-05-02 18:30:00,10994.38
9727,2025-05-02 18:35:00,11050.35
9728,2025-05-02 18:40:00,11062.33
9729,2025-05-02 18:45:00,10978.37
9730,2025-05-02 18:50:00,10910.33
9731,2025-05-02 18:55:00,11022.38
9732,2025-05-02 19:00:00,11070.38
9733,2025-05-02 19:05:00,10954.33
9734,2025-05-02 19:10:00,10914.33
9735,2025-05-02 19:15:00,11018.35
9736,2025-05-02 19:20:00,11118.37
9737,2025-05-02 19:25:00,11054.32
9738,2025-05-02 19:30:00,11014.39
9739,2025-05-02 19:35:00,10954.39
9740,2025-05-02 19:40:00,10970.33
9741,2025-05-02 19:45:00,11058.33
9742,2025-05-02 19:50:00,11014.36
9743,2025-05-02 19:55:00,10934.33
9744,2025-05-02 20:00:00,10982.36
9745,2025-05-02 20:05:00,10966.33
9746,2025-05-02 20:10:00,10902.35
9747,2025-05-02 20:15:00,10954.32
9748,2025-05-02 20:20:00,10958.32
9749,2025-05-02 20:25:00,11026.33
9750,2025-05-02 20:30:00,10846.33
9751,2025-05-02 20:35:00,10994.38
9752,2025-05-02 20:40:00,11122.32
9753,2025-05-02 20:45:00,10798.36
9754,2025-05-02 20:50:00,10902.36
9755,2025-05-02 20:55:00,10730.34
9756,2025-05-02 21:00:00,10990.34
9757,2025-05-02 21:05:00,10994.35
9758,2025-05-02 21:10:00,10890.36
9759,2025-05-02 21:15:00,10662.34
9760,2025-05-02 21:20:00,10890.32
9761,2025-05-02 21:25:00,10782.33
9762,2025-05-02 21:30:00,10886.32
9763,2025-05-02 21:35:00,10958.36
9764,2025-05-02 21:40:00,10882.35
9765,2025-05-02 21:45:00,10854.34
9766,2025-05-02 21:50:00,10914.38
9767,2025-05-02 21:55:00,10902.38
9768,2025-05-02 22:00:00,10794.34
9769,2025-05-02 22:05:00,10998.37
9770,2025-05-02 22:10:00,11026.33
9771,2025-05-02 22:15:00,10890.37
9772,2025-05-02 22:20:00,10918.33
9773,2025-05-02 22:25:00,11006.32
9774,2025-05-02 22:30:00,11046.35
9775,2025-05-02 22:35:00,10978.34
